Date,Amount,Category,Description
02-01-2023,426.84,Miscellaneous,Charity donation
02-01-2023,1927.88,Dining,Restaurant meal
02-01-2023,405.28,Miscellaneous,Personal care items
03-01-2023,441.57,Miscellaneous,Personal care items
03-01-2023,126.30,Entertainment,Streaming service subscription
03-01-2023,756.48,Dining,Fast food
03-01-2023,652.24,Transportation,Train ticket
03-01-2023,1184.79,Utilities,Internet subscription
04-01-2023,1579.14,Dining,Fast food
04-01-2023,3246.06,Groceries,Farmers market
05-01-2023,112.04,Miscellaneous,Personal care items
05-01-2023,639.19,Transportation,Bus pass
05-01-2023,242.01,Transportation,Rickshaw total daily cost
05-01-2023,454.39,Miscellaneous,Charity donation
05-01-2023,15554.71,Education,School fees
06-01-2023,1332.02,Utilities,Water bill
06-01-2023,1069.07,Dining,Restaurant meal
06-01-2023,5610.02,Education,School fees
06-01-2023,10.60,Transportation,Train ticket
06-01-2023,1584.54,Dining,Coffee shop
07-01-2023,454.74,Miscellaneous,Personal care items
07-01-2023,715.54,Transportation,Petrol filling
07-01-2023,977.68,Utilities,Water bill
07-01-2023,907.36,Transportation,Bus pass
07-01-2023,630.99,Dining,Coffee shop
07-01-2023,919.98,Transportation,Rickshaw total daily cost
08-01-2023,125.57,Miscellaneous,Personal care items
08-01-2023,146.73,Miscellaneous,Gift purchase
09-01-2023,404.23,Miscellaneous,Gift purchase
09-01-2023,895.99,Transportation,Rickshaw total daily cost
09-01-2023,289.37,Miscellaneous,Personal care items
09-01-2023,135.61,Miscellaneous,Gift purchase
09-01-2023,326.86,Transportation,Petrol filling
10-01-2023,871.30,Dining,Fast food
10-01-2023,18263.93,Education,Textbook purchase
10-01-2023,13976.92,Housing,Property tax
10-01-2023,1201.31,Utilities,Water bill
11-01-2023,442.79,Miscellaneous,Personal care items
11-01-2023,578.93,Transportation,Rickshaw total daily cost
11-01-2023,19633.98,Education,Textbook purchase
11-01-2023,899.24,Dining,Coffee shop
12-01-2023,312.78,Miscellaneous,Charity donation
12-01-2023,825.66,Utilities,Internet subscription
12-01-2023,1507.87,Dining,Fast food
12-01-2023,412.01,Miscellaneous,Charity donation
12-01-2023,12197.56,Housing,Rent payment
13-01-2023,169.35,Transportation,Bus pass
13-01-2023,206.51,Transportation,Rickshaw total daily cost
13-01-2023,819.66,Transportation,Petrol filling
13-01-2023,1297.47,Utilities,Internet subscription
13-01-2023,707.89,Utilities,Electricity bill
14-01-2023,1078.00,Utilities,Water bill
14-01-2023,499.42,Miscellaneous,Charity donation
14-01-2023,995.44,Utilities,Electricity bill
14-01-2023,155.91,Entertainment,Streaming service subscription
14-01-2023,162.51,Transportation,Rickshaw total daily cost
15-01-2023,1121.14,Utilities,Internet subscription
15-01-2023,3693.84,Groceries,Grocery store purchase
15-01-2023,5909.60,Education,School fees
15-01-2023,3549.04,Education,School fees
15-01-2023,325.97,Transportation,Rickshaw total daily cost
16-01-2023,898.90,Transportation,Bus pass
16-01-2023,294.70,Transportation,Train ticket
16-01-2023,10327.03,Housing,Property tax
17-01-2023,676.85,Utilities,Electricity bill
17-01-2023,837.89,Dining,Fast food
17-01-2023,152.69,Transportation,Train ticket
17-01-2023,9301.90,Housing,Mortgage installment
18-01-2023,395.30,Miscellaneous,Charity donation
18-01-2023,1265.18,Utilities,Internet subscription
18-01-2023,448.50,Miscellaneous,Personal care items
18-01-2023,354.15,Miscellaneous,Gift purchase
19-01-2023,1584.31,Dining,Restaurant meal
19-01-2023,725.00,Utilities,Internet subscription
19-01-2023,180.66,Miscellaneous,Gift purchase
19-01-2023,7134.28,Health,gym fee
19-01-2023,187.76,Dining,Restaurant meal
19-01-2023,166.25,Entertainment,Streaming service subscription
20-01-2023,3553.42,Education,School fees
21-01-2023,1703.74,Dining,Fast food
21-01-2023,1924.86,Dining,Fast food
21-01-2023,14727.57,Housing,Mortgage installment
21-01-2023,190.03,Entertainment,Movie ticket
21-01-2023,136.37,Transportation,Petrol filling
22-01-2023,2381.98,Education,School fees
22-01-2023,747.42,Transportation,Bus pass
22-01-2023,1063.83,Utilities,Internet subscription
23-01-2023,120.14,Entertainment,Movie ticket
23-01-2023,365.83,Miscellaneous,Gift purchase
23-01-2023,398.14,Groceries,Supermarket
23-01-2023,1964.22,Dining,Fast food
24-01-2023,118.57,Entertainment,Movie ticket
24-01-2023,516.92,Utilities,Electricity bill
24-01-2023,7835.50,Housing,Property tax
25-01-2023,687.83,Utilities,Water bill
25-01-2023,1086.27,Education,Online course subscription
25-01-2023,679.90,Dining,Coffee shop
25-01-2023,1082.71,Dining,Coffee shop
26-01-2023,433.86,Miscellaneous,Charity donation
26-01-2023,502.06,Dining,Coffee shop
27-01-2023,1842.01,Dining,Fast food
27-01-2023,9524.13,Education,School fees
27-01-2023,4902.61,Groceries,Supermarket
28-01-2023,309.39,Miscellaneous,Charity donation
28-01-2023,11138.87,Education,Online course subscription
29-01-2023,1571.82,Dining,Coffee shop
30-01-2023,410.71,Dining,Restaurant meal
30-01-2023,452.67,Dining,Fast food
30-01-2023,1029.83,Utilities,Internet subscription
30-01-2023,694.40,Transportation,Bus pass
30-01-2023,467.26,Miscellaneous,Charity donation
31-01-2023,237.76,Dining,Fast food
31-01-2023,753.83,Transportation,Petrol filling
31-01-2023,105.71,Miscellaneous,Charity donation
01-02-2023,9462.25,Health,Doctor appointment
02-02-2023,82.56,Transportation,Bus pass
02-02-2023,562.03,Utilities,Electricity bill
02-02-2023,955.40,Dining,Fast food
02-02-2023,784.78,Utilities,Internet subscription
02-02-2023,122.13,Entertainment,Concert ticket
03-02-2023,682.61,Dining,Fast food
03-02-2023,299.42,Groceries,Grocery store purchase
03-02-2023,12734.17,Housing,Mortgage installment
04-02-2023,643.70,Dining,Fast food
04-02-2023,266.28,Miscellaneous,Charity donation
04-02-2023,101.64,Entertainment,Concert ticket
04-02-2023,499.30,Miscellaneous,Charity donation
